id,contract_number,trd_buy_id,supplier_id,supplier_biin,customer_id,contract_sum_wnds,crdate,index_date
1,C-001,89,39,100000000039,100000000019,5256245.832002239,2025-10-12,2025-11-24
2,C-002,36,31,100000000031,100000000035,3491898.129726147,2025-11-15,2025-11-24
3,C-003,49,33,100000000033,100000000026,4026818.572017598,2025-08-26,2025-11-24
4,C-004,56,40,100000000040,100000000032,3955498.6279450846,2025-09-29,2025-11-24
5,C-005,22,22,100000000022,100000000011,3426616.0764313345,2025-11-09,2025-11-24
6,C-006,56,7,100000000007,100000000032,3184709.772144281,2025-11-16,2025-11-24
7,C-007,22,17,100000000017,100000000011,3583581.866947125,2025-08-26,2025-11-24
8,C-008,39,40,100000000040,100000000043,2202913.1847182508,2025-08-27,2025-11-24
9,C-009,6,21,100000000021,100000000027,4797764.379710878,2025-10-04,2025-11-24
10,C-010,21,32,100000000032,100000000009,2956196.2552269297,2025-09-07,2025-11-24
11,C-011,58,10,100000000010,100000000048,4293442.381592521,2025-08-17,2025-11-24
12,C-012,49,20,100000000020,100000000026,4049612.0438782056,2025-10-04,2025-11-24
13,C-013,6,35,100000000035,100000000027,4571479.594462906,2025-09-05,2025-11-24
14,C-014,40,42,100000000042,100000000003,3972370.600709198,2025-10-08,2025-11-24
15,C-015,66,8,100000000008,100000000013,1068695.8061059944,2025-08-17,2025-11-24
16,C-016,87,11,100000000011,100000000040,1741593.4232950346,2025-11-09,2025-11-24
17,C-017,86,9,100000000009,100000000046,3531330.157266144,2025-10-13,2025-11-24
18,C-018,100,7,100000000007,100000000019,1206703.0341657153,2025-11-09,2025-11-24
19,C-019,48,46,100000000046,100000000025,4689581.633029728,2025-09-15,2025-11-24
20,C-020,7,3,100000000003,100000000018,3551010.160450079,2025-08-17,2025-11-24
21,C-021,32,11,100000000011,100000000002,610980.2332229916,2025-09-29,2025-11-24
22,C-022,82,20,100000000020,100000000021,2414317.5310150767,2025-08-26,2025-11-24
23,C-023,30,41,100000000041,100000000017,5406368.267380323,2025-09-27,2025-11-24
24,C-024,94,43,100000000043,100000000038,1865178.4132404602,2025-09-22,2025-11-24
25,C-025,73,30,100000000030,100000000016,1178010.1873526955,2025-10-13,2025-11-24
26,C-026,62,7,100000000007,100000000041,987521.8047198143,2025-10-28,2025-11-24
27,C-027,61,16,100000000016,100000000040,3277240.551438492,2025-09-04,2025-11-24
28,C-028,80,4,100000000004,100000000007,1342525.6718634574,2025-10-31,2025-11-24
29,C-029,33,32,100000000032,100000000029,774915.364668902,2025-10-02,2025-11-24
30,C-030,20,3,100000000003,100000000039,3233323.9760438073,2025-10-30,2025-11-24
31,C-031,19,3,100000000003,100000000012,2146338.474390334,2025-11-24,2025-11-24
32,C-032,83,38,100000000038,100000000046,668365.912587133,2025-08-27,2025-11-24
33,C-033,22,46,100000000046,100000000011,3673163.829111926,2025-10-18,2025-11-24
34,C-034,98,4,100000000004,100000000018,2816966.884848482,2025-09-15,2025-11-24
35,C-035,43,18,100000000018,100000000021,1970700.9825376626,2025-11-02,2025-11-24
36,C-036,16,38,100000000038,100000000004,5501286.086396883,2025-11-22,2025-11-24
37,C-037,89,17,100000000017,100000000019,4444862.897545932,2025-10-28,2025-11-24
38,C-038,43,26,100000000026,100000000021,1642522.5997852057,2025-09-20,2025-11-24
39,C-039,76,44,100000000044,100000000044,1693156.0519188917,2025-08-20,2025-11-24
40,C-040,48,26,100000000026,100000000025,4916983.729506864,2025-08-20,2025-11-24
41,C-041,11,46,100000000046,100000000020,1764456.7937795466,2025-11-24,2025-11-24
42,C-042,88,28,100000000028,100000000027,1987221.4722782385,2025-08-16,2025-11-24
43,C-043,67,40,100000000040,100000000026,663044.718192103,2025-10-28,2025-11-24
44,C-044,84,13,100000000013,100000000047,489528.8749276589,2025-11-14,2025-11-24
45,C-045,55,24,100000000024,100000000026,2337907.2067962843,2025-10-30,2025-11-24
46,C-046,72,11,100000000011,100000000050,4105504.4538296037,2025-11-05,2025-11-24
47,C-047,42,32,100000000032,100000000036,920794.9213037294,2025-09-29,2025-11-24
48,C-048,24,34,100000000034,100000000028,1281461.2013330196,2025-10-19,2025-11-24
49,C-049,99,36,100000000036,100000000038,3691277.3490911685,2025-11-06,2025-11-24
50,C-050,100,15,100000000015,100000000019,966887.2490904375,2025-10-23,2025-11-24
51,C-051,48,29,100000000029,100000000025,5375816.208544157,2025-09-12,2025-11-24
52,C-052,98,5,100000000005,100000000018,2933057.547494333,2025-10-16,2025-11-24
53,C-053,76,43,100000000043,100000000044,1988048.9097161628,2025-10-11,2025-11-24
54,C-054,97,38,100000000038,100000000014,841502.2614474944,2025-08-18,2025-11-24
55,C-055,25,32,100000000032,100000000049,3188980.310906445,2025-10-09,2025-11-24
56,C-056,92,35,100000000035,100000000008,2946675.8408173816,2025-09-02,2025-11-24
57,C-057,49,46,100000000046,100000000026,4399671.445889696,2025-09-20,2025-11-24
58,C-058,31,13,100000000013,100000000038,5036392.432186976,2025-09-07,2025-11-24
59,C-059,85,35,100000000035,100000000015,1066514.0995717861,2025-11-17,2025-11-24
60,C-060,21,37,100000000037,100000000009,2755359.2607939113,2025-09-22,2025-11-24
61,C-061,95,20,100000000020,100000000034,2896117.006852136,2025-10-13,2025-11-24
62,C-062,93,40,100000000040,100000000028,3596514.3819269473,2025-10-04,2025-11-24
63,C-063,75,45,100000000045,100000000040,4796616.849810652,2025-11-17,2025-11-24
