id,lot_number,ref_lot_status_id,last_update_date,amount,name_ru,customer_bin,dumping,psd_sign,system_id
1,L-001,5,2025-09-09,3472439,Lot 1,100000000042,1,1,1
2,L-002,4,2025-10-29,2278615,Lot 2,100000000014,0,1,2
3,L-003,5,2025-10-30,1934115,Lot 3,100000000041,0,1,3
4,L-004,3,2025-10-09,4635278,Lot 4,100000000001,0,2,4
5,L-005,3,2025-11-06,1143537,Lot 5,100000000026,0,1,5
6,L-006,1,2025-09-19,4057371,Lot 6,100000000027,0,1,6
7,L-007,2,2025-10-26,4117574,Lot 7,100000000018,0,2,7
8,L-008,4,2025-09-29,4475150,Lot 8,100000000018,0,1,8
9,L-009,1,2025-11-14,3422120,Lot 9,100000000025,1,1,9
10,L-010,3,2025-10-29,4559134,Lot 10,100000000037,0,2,10
11,L-011,4,2025-09-23,2053570,Lot 11,100000000020,0,1,11
12,L-012,4,2025-10-20,1305549,Lot 12,100000000047,0,2,12
13,L-013,5,2025-11-06,3408088,Lot 13,100000000006,1,1,13
14,L-014,3,2025-09-18,4379116,Lot 14,100000000039,1,1,14
15,L-015,5,2025-10-24,4992377,Lot 15,100000000042,0,2,15
16,L-016,4,2025-09-29,4934452,Lot 16,100000000004,1,1,16
17,L-017,3,2025-10-25,2463859,Lot 17,100000000014,0,1,17
18,L-018,1,2025-11-21,1214956,Lot 18,100000000021,0,2,18
19,L-019,3,2025-08-31,1857126,Lot 19,100000000012,0,1,19
20,L-020,4,2025-09-02,3754629,Lot 20,100000000039,0,2,20
21,L-021,2,2025-10-25,3010706,Lot 21,100000000009,0,1,21
22,L-022,4,2025-09-03,4090336,Lot 22,100000000011,1,2,22
23,L-023,5,2025-10-06,1997267,Lot 23,100000000028,1,2,23
24,L-024,3,2025-09-22,1192247,Lot 24,100000000028,1,2,24
25,L-025,2,2025-09-29,3272587,Lot 25,100000000049,0,1,25
26,L-026,4,2025-11-24,4612487,Lot 26,100000000024,1,1,26
27,L-027,5,2025-10-11,1129273,Lot 27,100000000024,0,1,27
28,L-028,1,2025-10-11,2825639,Lot 28,100000000027,0,2,28
29,L-029,1,2025-10-30,3632302,Lot 29,100000000012,0,1,29
30,L-030,5,2025-09-02,4908717,Lot 30,100000000017,1,1,30
31,L-031,5,2025-10-02,4828378,Lot 31,100000000038,0,1,31
32,L-032,5,2025-10-21,706942,Lot 32,100000000002,0,2,32
33,L-033,2,2025-09-05,698835,Lot 33,100000000029,1,1,33
34,L-034,3,2025-11-12,2351624,Lot 34,100000000045,1,2,34
35,L-035,1,2025-09-11,1968523,Lot 35,100000000029,1,1,35
36,L-036,4,2025-10-13,4040315,Lot 36,100000000035,0,2,36
37,L-037,3,2025-09-14,2166121,Lot 37,100000000045,1,1,37
38,L-038,1,2025-09-22,3517275,Lot 38,100000000039,0,2,38
39,L-039,1,2025-11-21,1909710,Lot 39,100000000043,0,2,39
40,L-040,1,2025-09-26,4824247,Lot 40,100000000003,0,1,40
41,L-041,3,2025-10-05,2665944,Lot 41,100000000008,1,2,41
42,L-042,1,2025-09-29,893876,Lot 42,100000000036,1,1,42
43,L-043,4,2025-10-10,1747896,Lot 43,100000000021,0,2,43
44,L-044,3,2025-09-22,571625,Lot 44,100000000047,0,1,44
45,L-045,1,2025-11-20,4393829,Lot 45,100000000036,1,1,45
46,L-046,4,2025-10-05,1529402,Lot 46,100000000042,1,1,46
47,L-047,3,2025-09-06,1062317,Lot 47,100000000004,0,1,47
48,L-048,1,2025-10-09,4728167,Lot 48,100000000025,1,2,48
49,L-049,5,2025-09-24,4995859,Lot 49,100000000026,0,2,49
50,L-050,5,2025-08-18,518414,Lot 50,100000000048,1,1,50
51,L-051,2,2025-11-22,3654777,Lot 51,100000000029,1,2,51
52,L-052,3,2025-11-01,625258,Lot 52,100000000012,0,2,52
53,L-053,5,2025-10-22,4725755,Lot 53,100000000018,0,1,53
54,L-054,2,2025-09-28,2032029,Lot 54,100000000012,0,1,54
55,L-055,5,2025-08-23,2325264,Lot 55,100000000026,1,2,55
56,L-056,3,2025-11-23,3645926,Lot 56,100000000032,0,2,56
57,L-057,2,2025-11-02,3705847,Lot 57,100000000033,1,2,57
58,L-058,4,2025-09-02,3599608,Lot 58,100000000048,0,1,58
59,L-059,2,2025-09-06,2346348,Lot 59,100000000027,1,2,59
60,L-060,1,2025-10-12,2808386,Lot 60,100000000046,0,1,60
61,L-061,1,2025-09-12,3623904,Lot 61,100000000040,1,2,61
62,L-062,1,2025-09-21,994231,Lot 62,100000000041,0,2,62
63,L-063,1,2025-09-20,616678,Lot 63,100000000041,1,2,63
64,L-064,1,2025-09-10,4922335,Lot 64,100000000025,1,1,64
65,L-065,1,2025-11-13,1851268,Lot 65,100000000012,1,1,65
66,L-066,4,2025-08-21,1040535,Lot 66,100000000013,0,2,66
67,L-067,2,2025-10-20,603927,Lot 67,100000000026,1,1,67
68,L-068,3,2025-08-17,1371368,Lot 68,100000000050,0,1,68
69,L-069,5,2025-09-03,4164692,Lot 69,100000000049,0,2,69
70,L-070,3,2025-10-10,2659512,Lot 70,100000000035,1,2,70
71,L-071,4,2025-08-17,3646354,Lot 71,100000000040,1,1,71
72,L-072,4,2025-10-06,4215003,Lot 72,100000000050,1,1,72
