id,contract_number,contract_number_sys,trd_buy_id,trd_buy_number_anno,ref_contract_type_id,ref_contract_status_id,crdate,contract_sum_wnds,supplier_id,supplier_biin,customer_id,customer_bin,index_date,system_id
1,4f707e6f-ec7c-45e8-a439-9fd7999db71b,fd85ddc7-4a80-48f5-a585-f7d491bcac91,25,3a3b34e6-5e6d-4b8f-b0bd-e75731d8db3b,2,10,2023-01-22 22:43:59,4113331.37,323,451339584929,488,303454465749,2024-09-28 13:40:50,3
2,cfbe8ea9-872e-4bb7-a0fa-a1892ac1b414,90942266-8e11-4afc-a98b-650e0759c175,1080,222f6d32-a0f0-43df-a886-395da4d93f6e,4,5,2024-10-22 22:02:58,36480077.64,543,192005565251,97,862760230348,2025-06-13 18:12:10,3
3,4231c4b7-4bab-42f3-8cff-c12953de2fd9,6787526c-acce-471b-ae6d-84ef1b806f5a,558,5a465b58-57ca-48c7-9ff6-b78f0a6f96fa,1,9,2024-04-11 15:18:19,19691408.15,53,585650186507,285,169117590681,2023-05-29 02:01:03,3
4,7051f7fd-9b5e-4eae-83e4-f1d80dd43584,f4c0e638-e1d3-4c38-95fd-7cfac108a9d9,508,dd6e2cf4-f02a-47e6-a365-9fdb0d1a6d45,5,3,2025-02-08 05:41:11,5282728.27,356,649724391833,243,154203078451,2025-05-27 13:30:01,3
5,f1be2f97-569d-4f60-8b25-f02896e67c2e,32ae5cda-ae47-4a23-b8db-ec8e5a826194,716,43dac225-b84a-45ab-8d37-67386030b3f1,1,9,2023-05-09 11:49:59,43872587.37,833,908014862959,543,227742774842,2024-12-08 13:57:47,3
6,47496e67-24b7-4cc9-ae27-a0a3015a8033,168eabb8-a587-4e2a-85b5-c8f92e7e94cf,359,45d8ece0-e42b-4255-b8c3-fd6885356146,3,6,2023-11-17 22:14:12,22832271.98,628,805801634436,1081,888724425942,2025-06-30 19:19:42,3
7,da28d2cd-0ed7-4c2a-9f4b-11de99aaf164,5cb606f4-0fa3-41ce-b449-9c687bbc6162,1053,be526c08-58cc-4d42-a740-b8498d51075a,3,7,2024-03-13 23:01:59,13967533.07,762,136568700691,766,193756632527,2024-03-18 00:36:07,3
8,91b0d883-02bd-46d4-a700-8c4da518b1e6,4118886a-e098-4fcf-9ca8-e83f66a77468,84,1acc49a1-a2f3-4513-807d-9922bb1df45a,3,5,2025-06-13 13:57:40,44142448.08,139,477108675775,586,627020008646,2025-07-05 08:21:25,3
9,d65605a6-cbe2-4106-93c9-68154381e444,aa68bd4c-b28b-4655-82cb-b3f74b7b0db3,176,821b78cf-c89a-439f-ac18-45efd1583a1c,4,5,2023-08-25 12:26:15,2218077.04,277,876660872475,967,753830839004,2023-04-23 06:35:24,3
10,3bc622b7-a6b2-48a1-b824-251dd9000e2b,3fcb736d-6f00-4c69-8c97-e48739404a20,441,193ab6e3-59b9-4c59-8063-5160691be191,1,8,2025-05-02 20:19:50,33073825.67,771,696531461368,320,499896120193,2025-01-24 18:40:30,3
11,48c73dee-949d-45ae-9814-19dbae57bf2f,03035a6b-8535-4d92-a7af-1e92743523fe,1052,d710cc8d-77d0-4e44-9fda-07b7fe67dd0c,5,1,2023-10-08 19:48:44,28006953.27,334,833705271881,1182,535768596467,2024-03-18 09:13:12,3
12,0537104d-5554-4fc6-9868-d4b3c24e1f36,a63d4699-2daf-46e4-9ff9-ed9c0b0fa95e,629,fb8ba1f2-df51-490b-937c-ee1a15705240,2,7,2023-10-02 07:32:43,43153872.45,554,873892619087,427,497794419153,2024-03-27 05:53:31,3
13,86ab84ef-190a-4433-ac65-cfb522d9490e,d243f250-c9f9-4ebd-8ebc-bb604d18b69f,622,fb9f3385-647f-4eec-a7da-5c3f60cecbc5,1,3,2025-07-19 13:42:00,9363077.46,72,542888832670,903,661855249488,2024-11-02 15:52:51,3
14,2b498d59-a998-465f-b2c9-62790260f01d,73f5ee07-57eb-453c-a87e-9f7d16d4bb82,1163,d7f0485d-6eb7-4a64-8f73-9fa29e9d1107,5,2,2025-02-21 19:36:04,781783.07,83,194513077218,811,365827663036,2024-09-06 18:18:08,3
15,183c903f-7e3a-4400-849f-a95ba8773fd3,1614f9a6-610c-4b66-893b-98ea6bb5aa97,3,45740329-a49a-45b3-8503-e734eb7e1515,2,10,2025-06-20 09:00:15,5575805.85,750,480904625212,924,608287565809,2025-08-18 09:16:24,3
16,55667c4d-4038-4400-b108-bef09b69eea0,b54529d1-8cc3-4b29-8dc6-e051c7e91160,1026,f2a50cb0-8bcd-4afd-a7f4-c676eac2bb3d,2,7,2024-01-30 12:34:32,7641012.7,123,688375667360,877,564949000314,2024-09-17 22:52:13,3
17,29d15cc5-a988-46c3-b1e0-07166ae41af9,fee395aa-0835-499e-832b-824cc7772016,930,0bbbd06a-2a2c-411c-88ee-24e0913088fe,2,4,2025-07-27 18:57:08,25505148.01,1041,435548547400,587,954939454887,2024-07-23 19:08:32,3
18,0dfb5cda-b007-42e7-8a83-b357422286b4,dc99fde5-b975-4db5-ae15-e41e3d9051e2,562,f60f57f3-a7bc-46da-b62d-f498b6221a77,4,6,2025-11-06 21:26:35,7631792.06,238,816633034848,857,238357749295,2023-10-08 05:41:13,3
