id,parent_id,root_id,trd_buy_id,trd_buy_number_anno,ref_amendm_agreem_justif_id,ref_contract_status_id,deleted,crdate,last_update_date,supplier_id,supplier_biin,supplier_bik,supplier_iik,supplier_bank_name_kz,supplier_bank_name_ru,customer_id,customer_bin,customer_bik,customer_iik,customer_bank_name_kz,customer_bank_name_ru,contract_number,contract_number_sys,fin_year,ref_contract_agr_form_id,ref_contract_year_type_id,ref_finsource_id,ref_currency_code,contract_sum_wnds,sign_date,ec_end_date,plan_exec_date,fakt_exec_date,fakt_sum_wnds,contract_end_date,ref_contract_cancel_id,description_kz,description_ru,sign_reason_doc_name,sign_reason_doc_date,trd_buy_itogi_date_public,fakt_trade_methods_id,ec_customer_approve,ec_supplier_approve,contract_ms,supplier_legal_address,customer_legal_address,payments_terms_ru,payments_terms_kz,is_gu,exchange_rate,system_id,index_date
1,854,224,571,3ae5feb0-3c20-45a0-a540-0876890a1a76,2,6,1,2024-11-13 03:23:44,2024-03-16 15:21:03,12,546968922257,ZCSWRUQFTDE,MRCI1237594139614,Турова и партнеры,НПО «Кириллова»,163,594147372830,UWPDRU2GJWT,HNDS7370301805688,РАО «Кудрявцев»,ЗАО «Корнилов»,c993efd0-c448-4d48-afb4-411a2988222b,115a73d5-72c7-4ad0-bf11-970e95147a91,2022,1,4,4,USD,26444080.76,2025-06-30,2024-05-29,2024-11-21,2023-10-31,6544514.57,2023-12-03,2,Угроза прошептать тюрьма ведь.,Триста каюта пропаганда.,число,2025-01-08,2023-07-13,2,0,0,28.18,"ст. Домбай, пер. Ставропольский, д. 271 к. 5/8, 077836","с. Истра, ш. Индустриальное, д. 994, 014167",Спорт невозможно лапа.,Трясти висеть болото холодно ученый.,0,595.48,3,2024-08-09 19:37:15
2,559,572,224,8fafcd84-1f51-4e65-b244-40662da8a598,2,4,0,2023-08-22 10:44:47,2025-08-19 10:12:36,1182,245739904091,IMJVRUQN,UJSW4597037923253,ЗАО «Панфилова»,"РАО «Беляев, Муравьева и Казакова»",1023,115773974705,MWFWRU36AKA,XKVD9189746051005,НПО «Кириллов Федоров»,"РАО «Лобанова, Цветков и Лебедев»",6ce51a00-762b-4639-9c09-7945cf8c6984,00230308-2d55-4db4-b400-5ca211753a9d,2023,5,3,2,USD,3721864.46,2025-09-25,2024-02-09,2023-07-17,2022-11-27,356965.55,2023-11-18,0,Умирать пища написать мягкий сопровождаться.,Что командование иной цель шлем скользить парень.,рабочий,2023-06-13,2023-06-24,6,1,1,81.85,"ст. Чокурдах, пер. Боровой, д. 3/8 к. 72, 371579","клх Кырен, ул. Марта 8, д. 6/3, 646111",Близко гулять ход триста.,Неправда металл проход.,1,494.54,3,2025-06-04 08:16:54
3,172,543,661,da89f768-11c3-4efc-94d4-70d66f316d1c,1,4,0,2025-07-01 20:02:24,2024-06-06 20:29:57,826,918010120750,LRUZRUR5D6F,XNBL7012456378023,Силина Групп,"АО «Колесников, Панова и Ильин»",542,288956105056,UXFJRUUJ,OVOR0341292358926,"АО «Елисеева, Блохин и Буров»",АО «Зимина-Поляков»,ad231430-eb00-4224-b874-680ec451a5f5,eb5d39c3-fcc8-414a-a53b-5c93ab9af661,2020,1,5,4,KZT,9875207.39,2024-01-24,2022-12-30,2024-04-11,2023-08-29,7604630.82,2023-03-13,3,Спасть грустный подземный салон запретить упор.,Прошептать один войти господь термин ход присесть основание.,засунуть,2023-12-21,2024-04-26,6,1,0,70.84,"п. Киржач, пер. Шолохова, д. 9/1 стр. 7/4, 253669","с. Светлогорск (Калин.), бул. Воронежский, д. 954, 446517",Табак порог аж наступать перебивать указанный салон.,Космос строительство совет.,1,577.29,3,2025-10-04 03:10:23
4,123,61,30,342c4595-1334-405e-831b-5a0dfaaded59,4,1,1,2025-11-20 06:35:50,2023-11-07 02:18:45,3,519551430907,RDRRRUDR,FYGQ4196084219388,ОАО «Стрелкова Бобылева»,ЗАО «Большакова»,26,700891511494,KVVCRU6338E,JGSS6208942150358,ИП «Воробьев»,ЗАО «Блохин-Андреева»,8fc02450-702e-4bd6-a4a8-67815333df96,c986f5c5-a3ca-4f3e-83b8-5b202746c218,2015,3,2,4,EUR,25656629.64,2023-12-18,2025-08-10,2024-09-29,2023-08-01,8088446.16,2025-01-22,0,Космос палата армейский еврейский социалистический.,Место постоянный недостаток основание.,разуметься,2024-10-11,2024-03-26,6,1,1,75.38,"г. Кетченеры, пр. Подстанция, д. 1 стр. 12, 282368","д. Ейск, пер. Кузнецкий, д. 71, 306134",Умолять медицина металл зима.,Посвятить встать лапа анализ ставить идея фонарик.,0,443.95,3,2023-04-19 15:53:15
5,218,547,79,8ccf8209-017f-4f1d-877a-1b7229989b09,2,3,1,2025-11-22 22:25:07,2024-12-28 05:36:14,713,431556668471,NEYSRUM3,WXHA9137397939704,"ЗАО «Самойлов, Кириллова и Шубин»",Макарова Инк,472,848932563354,YVZSRUTJG74,QIGX4748669362889,ООО «Алексеева Архипова»,Потапова Лимитед,695f4d12-b004-4379-b6f3-477bbf004210,8b1645be-feeb-4406-8889-c140d31331a9,2015,1,2,1,EUR,16263263.3,2024-06-22,2025-01-01,2024-01-25,2025-02-14,5758074.43,2024-06-21,5,Назначить спалить настать лапа налоговый пропадать.,Вздрагивать пламя солнце.,уронить,2024-09-11,2023-04-05,5,0,0,75.78,"клх Новороссийка, бул. Л.Толстого, д. 863, 269032","с. Хужир, наб. Надежды, д. 8/7, 897804",Дурацкий полностью бок более разуметься поговорить плясать.,Слишком изба дружно сомнительный житель.,1,427.72,3,2024-07-27 05:23:21
6,876,498,1012,1ef2835e-2aa9-4716-87bd-869b6c952e15,5,4,0,2025-06-12 22:57:26,2025-08-17 15:25:53,771,907318323122,ZDWFRUMDRWF,XVLH8638350396299,ЗАО «Медведева Моисеева»,БМВ Русланд Трейдинг (BMW),522,359870394390,ZLOHRUK7696,QGTS7889005859585,Роскосмос,"ИП «Архипова, Сидоров и Куликова»",4cf3ae56-bfff-44d7-a4aa-2dbba6110243,edcd454b-531f-4206-99a2-327fa7bff5c6,2016,3,5,1,EUR,33774194.13,2025-03-18,2025-10-14,2023-11-01,2023-08-26,645205.63,2025-06-10,0,Природа научить коммунизм засунуть подробность.,Изображать запеть скрытый житель еврейский вытаскивать каюта вряд.,порядок,2025-06-12,2025-09-25,4,1,1,32.69,"г. Кострома, пр. Леонова, д. 8 стр. 30, 543710","клх Лысьва, ш. Набережное, д. 4 стр. 5, 316316",Назначить оставить сынок оборот уточнить неожиданный радость.,Эпоха настать прежде деньги о вчера смеяться.,0,549.21,3,2023-10-26 22:08:04
7,751,404,584,e921acf3-b8d5-4ebb-811b-ff9dfef97a49,1,8,0,2023-07-21 14:33:46,2024-05-30 11:05:46,187,262304526229,TKKJRUOSPI5,QVZH3207543516701,НПО «Сорокина Мельников»,Московский аэропорт Домодедово,1005,689200664799,MGCURUZB3NQ,UZCW9088851671573,ЗАО «Брагин»,ГК Невада (Самбери),11d36ebd-4642-48a7-aa6d-2f617887879f,10f0a15f-a903-4b01-ba39-f9a3ae11c334,2025,1,1,5,EUR,31658058.43,2025-07-29,2023-05-01,2025-05-31,2022-11-30,8064983.87,2024-06-17,0,Покинуть указанный неудобно видимо нажать горький.,Наслаждение порода ныне сопровождаться.,оставить,2022-12-16,2023-08-24,7,0,0,47.41,"п. Андреаполь, пер. Парижской Коммуны, д. 460, 374432","г. Ивдель, алл. Менделеева, д. 3/2 стр. 25, 659017",Палец пробовать палец спалить.,Ягода промолчать коробка падать манера товар.,0,546.19,3,2024-04-24 23:50:06
8,360,860,1098,909fa595-4e8a-4648-aed3-38f31f0537d6,5,7,1,2025-04-12 19:13:36,2024-09-07 16:07:25,297,320686495159,BXITRUEB,JTEF4945991406005,Луидор,Лобанова Инк,1165,883478933122,YJFURU2PUFB,EKYB7412519830184,ЗАО «Гришин-Максимов»,Рыбакова Групп,44f4fcd3-df03-44bf-9d6c-2e0d857a3dde,6c614c68-ad5d-4e8f-b8c5-772a2b6ec759,2023,3,3,5,KZT,26080727.35,2023-10-25,2024-04-13,2023-03-18,2023-09-29,5071063.77,2025-05-24,2,Дремать зачем вывести выражение пространство господь.,Порт одиннадцать уточнить монета печатать степь табак космос.,падаль,2023-07-28,2025-06-05,7,0,0,70.05,"д. Усинск, пер. Максима Горького, д. 3/6 стр. 92, 215781","п. Лысьва, ш. Ручейное, д. 4 к. 74, 381709",Запретить ставить совещание девка выраженный.,Порт похороны вариант виднеться космос вздрогнуть багровый приходить.,0,520.46,3,2025-05-07 01:28:20
9,806,390,533,7302be70-b9c2-4694-8f59-91a171eb00bf,1,5,1,2024-07-20 22:37:54,2024-02-11 03:10:41,65,783490110044,DVWSRUXNAWD,SGYJ7997228762815,"ИП «Захаров, Ковалева и Андреев»",Вирлпул Рус (Whirlpool),940,267302393320,KPRKRU4U6K3,QHJT3260631810845,ООО «Логинов Савина»,ЗАО «Горбачева»,f47cf269-1d65-4bba-9798-3abb372931ee,d4665081-45e8-4d54-a139-d9eb1b8b2b6d,2016,3,4,5,USD,23625325.93,2025-04-11,2024-08-12,2024-04-18,2023-07-25,513363.11,2025-01-31,1,О премьера наступать наслаждение.,Постоянный сверкать недостаток четко.,исполнять,2023-05-05,2024-05-30,4,1,1,79.92,"п. Невьянск, алл. Никитина, д. 4/1 к. 99, 174894","клх Александров Гай, алл. Титова, д. 8 к. 48, 816847",Низкий трясти сбросить издали.,Обида возбуждение бровь анализ затянуться.,1,523.63,3,2023-10-28 10:31:43
10,1101,321,869,3a62306e-856f-4fed-8453-abcab56f4b1b,1,6,0,2025-01-06 18:00:37,2025-06-07 01:41:46,176,218121958416,LMLFRUE0,NXJZ0867707898484,ИП «Архипова Гусев»,АО «Романова-Исаева»,456,143056121984,THGGRU59,EHPX5155483796917,ЗАО «Калашникова-Пахомов»,"ЗАО «Соловьева, Гусев и Тарасов»",57807541-1762-408d-aa5c-e80f9b6c45f0,38e183df-3059-478c-a10d-fb999879c005,2015,1,4,4,KZT,32483256.75,2024-07-02,2025-05-14,2025-11-16,2024-12-28,351059.07,2023-12-11,4,Проход еврейский висеть освобождение.,Багровый пропадать торговля горький доставать песенка.,поймать,2023-11-30,2023-06-27,2,1,1,4.11,"клх Уварово, алл. Фадеева, д. 4/4, 314923","с. Чебаркуль, наб. Ленинградская, д. 3, 018653",Господь уронить около экзамен мгновение близко носок дошлый.,Инвалид научить запеть танцевать.,1,551.77,3,2024-04-07 19:05:15
